address,size,type,symbol
0x10005b30,0x7,library,??1placeholder@any@boost@@UAE@XZ
0x10005b40,0x1f,library,??_Eplaceholder@any@boost@@UAEPAXI@Z
0x10005d10,0x25,library,?ReferenceCountedObject_zeroWeakPointers@ReferenceCountedObject@G3D@@QAEXXZ
0x10005d70,0x17,library,??0GImage@G3D@@QAE@XZ
0x10005d90,0x1e,library,??_EGImage@G3D@@UAEPAXI@Z
0x10005db0,0x6b,library,??0Settings@GWindow@G3D@@QAE@XZ
0x10005e20,0x6c,library,?setIcon@GWindow@G3D@@UAEXABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z
0x10005e90,0x5,library,?pollEvent@GWindow@G3D@@UAE_NAATSDL_Event@@@Z
0x10005ea0,0x38,library,?incInputCaptureCount@GWindow@G3D@@UAEXXZ
0x10005ee0,0x38,library,?decInputCaptureCount@GWindow@G3D@@UAEXXZ
0x10005f20,0x38,library,?incMouseHideCount@GWindow@G3D@@UAEXXZ
0x10005f60,0x38,library,?decMouseHideCount@GWindow@G3D@@UAEXXZ
0x10005fa0,0x29,library,?pushLoopBody@GWindow@G3D@@UAEXP6AXPAX@Z0@Z
0x10005fd0,0xf4,library,?runMainLoop@GWindow@G3D@@UAEXXZ
0x100060d0,0x32,library,??1GWindow@G3D@@UAE@XZ
0x10006110,0x46,library,??_EGWindow@G3D@@UAEPAXI@Z
0x10006160,0x7,library,??1Hashable@G3D@@UAE@XZ
0x10006170,0x1f,library,??_EHashable@G3D@@UAEPAXI@Z
0x10006190,0x9,library,??1Settings@GWindow@G3D@@QAE@XZ
0x100061e0,0x56,library,??1TextureArgs@TextureManager@G3D@@UAE@XZ
0x10006240,0x1e,library,??_ETextureArgs@TextureManager@G3D@@UAEPAXI@Z
0x100069b0,0x92,library,??4Settings@GWindow@G3D@@QAEAAV012@ABV012@@Z
0x100085a0,0x17,library,??1?$auto_ptr@V?$basic_istream@DU?$char_traits@D@std@@@std@@@std@@QAE@XZ
0x100085c0,0x16,library,??1?$scoped_lock@Vmutex@boost@@@thread@detail@boost@@QAE@XZ
0x10008660,0x24,library,??_E?$Table@VTextureArgs@TextureManager@G3D@@V?$ReferenceCountedPointer@VTexture@G3D@@@3@@G3D@@UAEPAXI@Z
0x100086f0,0x3e,library,??D?$_String_const_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEABDXZ
0x10008730,0x3c,library,??E?$_String_const_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV01@XZ
0x10008770,0xa5,library,?append@?$Array@VLoopBody@GWindow@G3D@@@G3D@@QAEXABVLoopBody@GWindow@2@@Z
0x10008820,0x5e,library,?freeMemory@?$Table@VTextureArgs@TextureManager@G3D@@V?$ReferenceCountedPointer@VTexture@G3D@@@3@@G3D@@AAEXXZ
0x10008a30,0x83,library,??1Entry@?$Table@VTextureArgs@TextureManager@G3D@@V?$ReferenceCountedPointer@VTexture@G3D@@@3@@G3D@@QAE@XZ
0x10008bf0,0x118,library,?resize@?$Array@VLoopBody@GWindow@G3D@@@G3D@@QAEXH_N@Z
0x10008d10,0x5,library,??3Node@?$Table@VTextureArgs@TextureManager@G3D@@V?$ReferenceCountedPointer@VTexture@G3D@@@3@@G3D@@SAXPAX@Z
0x10008d20,0x2f,library,??8?$_String_const_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBE_NABV01@@Z
0x10008dd0,0x62,library,?realloc@?$Array@VLoopBody@GWindow@G3D@@@G3D@@AAEXH@Z
0x10008e40,0x2a,library,??$throw_exception@Vbad_weak_ptr@boost@@@boost@@YAXABVbad_weak_ptr@0@@Z
