address,type,x-text
0x10232a90,string,"Can't use FMOD_OPENMEMORY_POINT on non PCM source data, or non mp3/xma"
0x10232b0c,string,Not enough memory or resources.
0x10232b30,string,Reached maximum audible playback count for this sound's soundgroup.
0x10232b78,string,PS2 only.  fmodex.irx failed to initialize.  This is most likely becau
0x10232bdc,string,"The vectors passed in are not unit length, or perpendicular."
0x10232c20,string,An invalid speaker was passed to this function based on the current sp
0x10232c74,string,An invalid parameter was passed to this function.
0x10232ca8,string,An invalid object handle was used.
0x10232ccc,string,"Value passed in was a NaN, Inf or denormalized float."
0x10232d08,string,"On Xbox 360, this memory address passed to FMOD must be physical, (ie "
0x10232d70,string,An error occured that wasn't supposed to.  Contact support.
0x10232db0,string,Cannot call this command after System::init.
0x10232de0,string,FMOD was not initialized correctly to support this function.
0x10232e20,string,The HTTP request timed out.
0x10232e40,string,A HTTP server error occurred.
0x10232e60,string,Proxy authentication is required to access the specified resource.
0x10232ea8,string,The specified resource requires authentication or is forbidden.
0x10232ef0,string,A HTTP error occurred. This is a catch-all for HTTP errors not listed 
0x10232f44,string,Unsupported file or audio format.
0x10232f68,string,Unwanted file access occured.
0x10232f88,string,File not found.
0x10232fa0,string,End of file unexpectedly reached while trying to read essential data (
0x10232ffc,string,Media was ejected while reading.
0x10233020,string,Couldn't perform seek operation.  This is a limitation of the medium (
0x1023308c,string,Error loading file.
0x102330a8,string,"The requested event, event group, event category or event property cou"
0x10233100,string,A category with the same name already exists.
0x10233130,string,FSB mis-matches the FEV it was compiled with.
0x10233160,string,Event failed because 'Max streams' was hit when FMOD_INIT_FAIL_ON_MAXS
0x102331c0,string,An error occured that wasn't supposed to.  See debug log for reason.
0x10233208,string,Can't execute this command on an EVENT_INFOONLY event.
0x10233240,string,"An Event failed to be retrieved, most likely due to 'just fail' being "
0x102332b0,string,DSP connection error.  The unit being connected to or disconnected sho
0x10233318,string,DSP error.  Cannot perform this operation while the network is in the 
0x102333d4,string,DSP connection error.  Couldn't find the DSP unit specified.
0x10233418,string,DSP Format error.  A DSP unit may have attempted to connect to this ne
0x10233480,string,DSP connection error.  Connection possibly caused a cyclic dependancy.
0x102334c8,string,DMA Failure.  See debug output for more information.
0x10233500,string,A Win32 COM related error occured. COM failed to initialize or a Query
0x10233598,string,The specified channel has been reused to play another sound.
0x102335d8,string,Error trying to allocate a channel.
0x10233600,string,A CDDA read error occurred.
0x10233620,string,No disc present in the specified drive.
0x1023364c,string,No CD/DVD devices were found.
0x1023366c,string,No audio tracks on the specified disc.
0x10233694,string,Couldn't find the specified device.
0x102336bc,string,An error occurred while initialising the CDDA subsystem.
0x102336f8,string,Neither NTSCSI nor ASPI could be initialised.
0x10233728,string,Tried to call a function on a data type that does not allow this type 
0x102337b0,string,Tried to call lock a second time before unlock was called.
0x10233a00,string,FMOD %d: %s
0x10233d88,string,The speaker mode selected isn't supported by this soundcard.  Using St
0x10233dd8,string,The acceleration slider in the Sound Control Panel set to 'off'
0x10233e18,string,No active sound driver detected
0x10233e38,string,Incorrect FMODEX DLL version
0x10233f3c,string,UnderWater
0x10233f48,string,SewerPipe
0x10233f54,string,ParkingLot
0x10233f60,string,Plain
0x10233f68,string,Quarry
0x10233f70,string,Mountains
0x10233f7c,string,City
0x10233f84,string,Forest
0x10233f8c,string,Alley
0x10233f94,string,StoneCorridor
0x10233fa4,string,Hallway
0x10233fac,string,CarpettedHallway
0x10233fc0,string,Hangar
0x10233fc8,string,Arena
0x10233fd0,string,Cave
0x10233fd8,string,ConcertHall
0x10233fe4,string,Auditorium
0x10233ff0,string,StoneRoom
0x10233ffc,string,LivingRoom
0x10234008,string,Bathroom
0x10234014,string,Room
0x1023401c,string,PaddedCell
0x10234028,string,GenericReverb
0x10234038,string,NoReverb
0x10234044,string,ReverbType
0x102342e8,string,Soundscape
0x102342f4,string,Sound
0x102343c0,string,# Unused
0x102343cc,string,# Sounds
0x102343d8,string,Max
0x102343dc,string,Current
0x102344a8,string,-disabled-
0x102344c0,string,fmod %08x
0x1023466c,string,Sounds/victory.wav
0x10234680,string,Sounds/swoosh.wav
0x10234694,string,Sounds/flashbulb.wav
0x102346ac,string,Sounds/SWITCH3.wav
0x102346c0,string,Sounds/splat.wav
0x102346d4,string,Sounds/snap.wav
0x102346e4,string,Sounds/electronicpingshort.wav
0x10234704,string,Sounds/pageturn.wav
0x10234718,string,Sounds/Rubber band sling shot.wav
0x1023473c,string,Sounds/clickfast.wav
0x10234754,string,Sounds/switch.wav
0x10234768,string,Sounds/glassbreak.wav
0x10234780,string,Sounds/collide.wav
0x10234794,string,Sounds/bass.wav
0x102347a4,string,DopplerScale
0x102347b4,string,DistanceFactor
0x102347c4,string,RolloffScale
0x102347d4,string,AmbientReverb
0x102347e4,string,SoundId
0x102347ec,string,Volume
0x102347f4,string,PlayCount
0x10234800,string,Looped
0x10234808,string,IsPlaying
0x10234814,string,IsPaused
0x10234820,string,PlayOnRemove
0x10234830,string,Play
0x10234838,string,Stop
0x10234878,string,/>
0x1023487c,string,Expected '>' but got EOF in Xml stream
0x102348a4,string,Expected '<' but got EOF in Xml stream
0x102348cc,string,tag expected after Byte-Order-Mark
0x102348f0,string,tag expected
0x10234900,string,apos
0x10234908,string,quot
0x10234910,string,amp
0x10234914,string,gt
0x10234918,string,lt
0x1023491c,string,&#%d;
0x10234924,string,&apos;
0x1023492c,string,&quot;
0x10234934,string,&amp;
0x1023493c,string,&gt;
0x10234944,string,&lt;
0x1023494c,string,='
0x10234958,string,</hash>
0x10234960,string,<hash>
0x10234968,string,<null></null>
0x10234978,string,</url>
0x10234980,string,<url>
0x10234988,string,</binary>
0x10234994,string,<binary xmime:contentType='
0x102349b0,string,<binary>
0x102349bc,string,TextXmlParser::parse - Unknown tag '%s'.
0x102349e8,string,TextXmlParser::parse - '%s' should be a closing tag
0x10234a1c,string,TextXmlParser::parse - Got close tag %s without open tag.
0x10234a58,string,binary
0x10234a60,string,<?
0x10234a64,string,TextXmlParser::parse empty file
0x10235254,string,Value
0x10235550,string,zlib error
0x1023555c,string,1.2.3
0x10235570,string,RBX%d
0x10235578,string,null
0x10235580,string,nil
0x10235584,string,xsi:nil
0x1023558c,string,xsi:type
0x10235598,string,xmlns:xsi
0x102355a4,string,root
0x102355ac,string,referent
0x102355b8,string,DeleteItem
