address,type,symbol
0x102e4138,global,?sDecal@RBX@@3PADA
0x102e4140,global,?sTexture@RBX@@3PADA
0x102e54f4,global,?kTurnAccelMax@Running@RBX@@0MB
0x102e54f8,global,?maxMoveAccelerationGrid@Running@RBX@@0VVector3@G3D@@B
0x102e56ec,global,?sToolMouseCommand@RBX@@3PADA
0x102e6028,global,?sGroupDragTool@RBX@@3PADA
0x102e60a4,global,?sPartDragTool@RBX@@3PADA
0x102e61c4,global,?sFillTool@RBX@@3PADA
0x102e61cc,global,?sDropperTool@RBX@@3PADA
0x102e61d4,global,?sModelSetPrimaryPartTool@RBX@@3PADA
0x102e61e8,global,?color@FillTool@RBX@@2VFillToolColor@2@A
