address,size,symbol,name
0x10042590,0x21,?getLightColor@Lighting@RBX@@QBE?AVColor3@G3D@@XZ,
0x100425c0,0x21,?getAmbientTop@Lighting@RBX@@QBE?AVColor3@G3D@@XZ,
0x100425f0,0x21,?getAmbientBottom@Lighting@RBX@@QBE?AVColor3@G3D@@XZ,
0x10042640,0x21,?getClearColor3@Lighting@RBX@@QBE?AVColor3@G3D@@XZ,
0x10042670,0x2e,?getMoonPosition@Lighting@RBX@@QAE?AVVector3@G3D@@XZ,
0x100426a0,0x2e,?getSunPosition@Lighting@RBX@@QAE?AVVector3@G3D@@XZ,
0x10042e00,0x3e,?getValue@?$GetSetImpl@P8Lighting@RBX@@BE?AVColor3@G3D@@XZP812@AEXV34@@Z@?$PropDescriptor@VLighting@RBX@@VColor3@G3D@@@Reflection@RBX@@UBE?AVColor3@G3D@@PBVDescribedBase@34@@Z,
0x10042e40,0x39,?setValue@?$GetSetImpl@P8Lighting@RBX@@BE?AVColor3@G3D@@XZP812@AEXV34@@Z@?$PropDescriptor@VLighting@RBX@@VColor3@G3D@@@Reflection@RBX@@UBEXPAVDescribedBase@34@ABVColor3@G3D@@@Z,
0x10042e80,0x80,?getValue@?$GetImpl@P8DebugSettings@RBX@@BE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZ@?$PropDescriptor@VDebugSettings@RBX@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Reflection@RBX@@UBE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PBVDescribedBase@34@@Z,
0x10043670,0x5b,??$getset@P8Lighting@RBX@@BE?AVColor3@G3D@@XZP812@AEXV34@@Z@?$PropDescriptor@VLighting@RBX@@VColor3@G3D@@@Reflection@RBX@@SA?AV?$auto_ptr@VGetSet@?$TypedPropertyDescriptor@VColor3@G3D@@@Reflection@RBX@@@std@@P8Lighting@2@BE?AVColor3@G3D@@XZP852@AEXV67@@Z@Z,
